district_id,raw_state_name,raw_district_name,canonical_state_name,canonical_district_name,valid_from,valid_to,latitude,longitude,point_method,match_method,match_status,geometry_source,coordinate_source,crop_rows,unique_years,unique_crops,unique_seasons,notes
IND_CHHATTISGARH_RAJNANDGAON,Chhattisgarh,RAJNANDGAON,,,2000,2014,,,,,pending,,,1206,15,43,3,
IND_CHHATTISGARH_SUKMA,Chhattisgarh,SUKMA,,,2011,2014,,,,,pending,,,212,4,30,3,
IND_CHHATTISGARH_SURAJPUR,Chhattisgarh,SURAJPUR,,,2011,2014,,,,,pending,,,292,4,38,3,
IND_CHHATTISGARH_SURGUJA,Chhattisgarh,SURGUJA,,,2000,2014,,,,,pending,,,1130,15,43,3,
IND_DADRA_AND_NAGAR_HAVELI_DADRA_AND_NAGAR_HAVELI,Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,,,1998,2014,,,,,pending,,,526,17,22,3,
IND_DAMAN_AND_DIU_DAMAN,Daman and Diu,DAMAN,,,2013,2014,,,,,pending,,,2,2,1,1,
IND_DAMAN_AND_DIU_DIU,Daman and Diu,DIU,,,2013,2014,,,,,pending,,,2,2,1,1,
IND_DAMAN_AND_DIU_DAMAN_AND_DIU,Daman and Diu,Daman and Diu,,,1998,2012,,,,,pending,,,30,15,2,1,
IND_DELHI_DELHI_TOTAL,Delhi,DELHI_TOTAL,,,2008,2014,,,,,pending,,,62,7,9,3,
IND_DELHI_DELHI,Delhi,Delhi,,,1998,2007,,,,,pending,,,105,10,12,3,
IND_GOA_GOA,Goa,Goa,,,1998,2003,,,,,pending,,,84,6,12,3,
IND_GOA_NORTH_GOA,Goa,NORTH GOA,,,1997,2014,,,,,pending,,,206,12,16,3,
IND_GOA_SOUTH_GOA,Goa,SOUTH GOA,,,1997,2014,,,,,pending,,,192,12,16,3,
IND_GUJARAT_AHMADABAD,Gujarat,AHMADABAD,,,1997,2014,,,,,pending,,,786,18,31,4,
IND_GUJARAT_AMRELI,Gujarat,AMRELI,,,1997,2014,,,,,pending,,,734,18,32,4,
IND_GUJARAT_ANAND,Gujarat,ANAND,,,2003,2014,,,,,pending,,,546,12,29,4,
IND_GUJARAT_ARAVALLI,Gujarat,ARAVALLI,,,2014,2014,,,,,pending,,,27,1,21,4,
IND_GUJARAT_BANAS_KANTHA,Gujarat,BANAS KANTHA,,,1997,2014,,,,,pending,,,843,18,31,4,
IND_GUJARAT_BHARUCH,Gujarat,BHARUCH,,,1997,2014,,,,,pending,,,856,18,33,4,
IND_GUJARAT_BHAVNAGAR,Gujarat,BHAVNAGAR,,,1997,2014,,,,,pending,,,731,18,31,4,
IND_GUJARAT_BOTAD,Gujarat,BOTAD,,,2014,2014,,,,,pending,,,18,1,15,4,
IND_GUJARAT_CHHOTAUDEPUR,Gujarat,CHHOTAUDEPUR,,,2014,2014,,,,,pending,,,30,1,23,4,
IND_GUJARAT_DANG,Gujarat,DANG,,,1997,2014,,,,,pending,,,488,18,26,4,
IND_GUJARAT_DEVBHUMI_DWARKA,Gujarat,DEVBHUMI DWARKA,,,2014,2014,,,,,pending,,,20,1,16,4,
IND_GUJARAT_DOHAD,Gujarat,DOHAD,,,2003,2014,,,,,pending,,,481,12,26,4,
IND_GUJARAT_GANDHINAGAR,Gujarat,GANDHINAGAR,,,1997,2014,,,,,pending,,,698,18,27,4,
IND_GUJARAT_GIR_SOMNATH,Gujarat,GIR SOMNATH,,,2014,2014,,,,,pending,,,23,1,18,4,
IND_GUJARAT_JAMNAGAR,Gujarat,JAMNAGAR,,,1997,2014,,,,,pending,,,773,18,29,4,
IND_GUJARAT_JUNAGADH,Gujarat,JUNAGADH,,,1997,2014,,,,,pending,,,773,18,31,4,
IND_GUJARAT_KACHCHH,Gujarat,KACHCHH,,,1997,2014,,,,,pending,,,670,18,29,4,
IND_GUJARAT_KHEDA,Gujarat,KHEDA,,,1997,2014,,,,,pending,,,968,18,33,4,
IND_GUJARAT_MAHESANA,Gujarat,MAHESANA,,,1997,2014,,,,,pending,,,895,18,31,4,
IND_GUJARAT_MAHISAGAR,Gujarat,MAHISAGAR,,,2014,2014,,,,,pending,,,33,1,25,4,
IND_GUJARAT_MORBI,Gujarat,MORBI,,,2014,2014,,,,,pending,,,23,1,18,4,
IND_GUJARAT_NARMADA,Gujarat,NARMADA,,,2003,2014,,,,,pending,,,460,12,28,4,
IND_GUJARAT_NAVSARI,Gujarat,NAVSARI,,,2003,2014,,,,,pending,,,461,12,27,4,
IND_GUJARAT_PANCH_MAHALS,Gujarat,PANCH MAHALS,,,1997,2014,,,,,pending,,,1014,18,34,4,
IND_GUJARAT_PATAN,Gujarat,PATAN,,,2003,2014,,,,,pending,,,446,12,28,4,
IND_GUJARAT_PORBANDAR,Gujarat,PORBANDAR,,,2003,2014,,,,,pending,,,372,12,24,4,
IND_GUJARAT_RAJKOT,Gujarat,RAJKOT,,,1997,2014,,,,,pending,,,740,18,29,4,
IND_GUJARAT_SABAR_KANTHA,Gujarat,SABAR KANTHA,,,1997,2014,,,,,pending,,,837,18,30,4,
IND_GUJARAT_SURAT,Gujarat,SURAT,,,1997,2014,,,,,pending,,,864,18,34,4,
IND_GUJARAT_SURENDRANAGAR,Gujarat,SURENDRANAGAR,,,1997,2014,,,,,pending,,,708,18,30,4,
IND_GUJARAT_TAPI,Gujarat,TAPI,,,2008,2014,,,,,pending,,,291,7,26,4,
IND_GUJARAT_VADODARA,Gujarat,VADODARA,,,1997,2014,,,,,pending,,,984,18,33,4,
IND_GUJARAT_VALSAD,Gujarat,VALSAD,,,1997,2014,,,,,pending,,,620,18,28,4,
IND_HARYANA_AMBALA,Haryana,AMBALA,,,1997,2014,,,,,pending,,,436,18,33,3,
IND_HARYANA_BHIWANI,Haryana,BHIWANI,,,1997,2014,,,,,pending,,,520,18,30,3,
IND_HARYANA_CHARKI_DADRI,Haryana,CHARKI DADRI,,,2014,2014,,,,,pending,,,2,1,2,1,
IND_HARYANA_FARIDABAD,Haryana,FARIDABAD,,,1997,2014,,,,,pending,,,409,18,32,3,
IND_HARYANA_FATEHABAD,Haryana,FATEHABAD,,,1997,2014,,,,,pending,,,510,18,30,3,
IND_HARYANA_GURGAON,Haryana,GURGAON,,,1997,2014,,,,,pending,,,430,18,31,3,
IND_HARYANA_HISAR,Haryana,HISAR,,,1997,2014,,,,,pending,,,556,18,35,3,
IND_HARYANA_JHAJJAR,Haryana,JHAJJAR,,,1997,2014,,,,,pending,,,453,18,28,3,
IND_HARYANA_JIND,Haryana,JIND,,,1997,2014,,,,,pending,,,411,18,31,3,
IND_HARYANA_KAITHAL,Haryana,KAITHAL,,,1997,2014,,,,,pending,,,424,18,32,3,
IND_HARYANA_KARNAL,Haryana,KARNAL,,,1997,2014,,,,,pending,,,491,18,35,3,
IND_HARYANA_KURUKSHETRA,Haryana,KURUKSHETRA,,,1997,2014,,,,,pending,,,406,18,30,3,
IND_HARYANA_MAHENDRAGARH,Haryana,MAHENDRAGARH,,,1997,2014,,,,,pending,,,349,18,28,3,
IND_HARYANA_MEWAT,Haryana,MEWAT,,,2005,2014,,,,,pending,,,212,10,23,3,
IND_HARYANA_PALWAL,Haryana,PALWAL,,,2008,2014,,,,,pending,,,134,7,20,3,
IND_HARYANA_PANCHKULA,Haryana,PANCHKULA,,,1997,2014,,,,,pending,,,496,18,35,3,
IND_HARYANA_PANIPAT,Haryana,PANIPAT,,,1997,2014,,,,,pending,,,424,18,34,3,
IND_HARYANA_REWARI,Haryana,REWARI,,,1997,2014,,,,,pending,,,407,18,29,3,
IND_HARYANA_ROHTAK,Haryana,ROHTAK,,,1997,2014,,,,,pending,,,450,18,32,3,
IND_HARYANA_SIRSA,Haryana,SIRSA,,,1997,2014,,,,,pending,,,496,18,29,3,
IND_HARYANA_SONIPAT,Haryana,SONIPAT,,,1997,2014,,,,,pending,,,483,18,33,3,
IND_HARYANA_YAMUNANAGAR,Haryana,YAMUNANAGAR,,,1997,2014,,,,,pending,,,483,18,33,3,
IND_HIMACHAL_PRADESH_BILASPUR,Himachal Pradesh,BILASPUR,,,1998,2014,,,,,pending,,,528,17,34,3,
IND_HIMACHAL_PRADESH_CHAMBA,Himachal Pradesh,CHAMBA,,,1998,2014,,,,,pending,,,543,17,32,3,
