census_version,source_layer,source_feature_index,raw_state_name,raw_district_name,raw_state_code,raw_district_code,normalized_state_name,normalized_district_name,state_compare_key,district_compare_key,geometry_type,geometry_valid,geometry_area_native
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,377,Gujarat,Panch Mahals,24,17,GUJARAT,PANCH MAHALS,GUJARAT,PANCHMAHALS,Polygon,True,0.3216660701331206
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,378,Haryana,Panipat,06,07,HARYANA,PANIPAT,HARYANA,PANIPAT,Polygon,True,0.11393650589974617
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,379,Madhya Pradesh,Panna,23,10,MADHYA PRADESH,PANNA,MADHYAPRADESH,PANNA,MultiPolygon,True,0.6317511533659451
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,380,Maharashtra,Parbhani,27,17,MAHARASHTRA,PARBHANI,MAHARASHTRA,PARBHANI,Polygon,True,0.5447170137753485
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,381,Bihar,Pashchim Champaran,10,01,BIHAR,PASHCHIM CHAMPARAN,BIHAR,PASHCHIMCHAMPARAN,Polygon,True,0.47752024557177436
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,382,West Bengal,Medinipur,19,15,WEST BENGAL,MEDINIPUR,WESTBENGAL,MEDINIPUR,MultiPolygon,True,1.1762170836282835
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,383,Jharkhand,Pashchimi Singhbhum,20,17,JHARKHAND,PASHCHIMI SINGHBHUM,JHARKHAND,PASHCHIMISINGHBHUM,Polygon,True,0.8656690559238908
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,384,Gujarat,Patan,24,03,GUJARAT,PATAN,GUJARAT,PATAN,Polygon,True,0.491601979321947
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,385,Punjab,Patiala,03,17,PUNJAB,PATIALA,PUNJAB,PATIALA,MultiPolygon,True,0.34920388099399735
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,386,Arunanchal Pradesh,Papum Pare,12,04,ARUNANCHAL PRADESH,PAPUM PARE,ARUNANCHALPRADESH,PAPUMPARE,Polygon,True,0.344635918622378
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,387,Bihar,Patna,10,28,BIHAR,PATNA,BIHAR,PATNA,MultiPolygon,True,0.28750727718005803
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,388,Kerala,Pathanamthitta,32,12,KERALA,PATHANAMTHITTA,KERALA,PATHANAMTHITTA,Polygon,True,0.21760517374827137
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,389,Tamil Nadu,Perambalur,33,16,TAMIL NADU,PERAMBALUR,TAMILNADU,PERAMBALUR,Polygon,True,0.14520608315591385
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,390,Nagaland,Phek,13,08,NAGALAND,PHEK,NAGALAND,PHEK,Polygon,True,0.18444775923791243
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,391,Orissa,Kandhamal,21,21,ORISSA,KANDHAMAL,ORISSA,KANDHAMAL,Polygon,True,0.695027294236267
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,392,Uttar Pradesh,Pilibhit,09,21,UTTAR PRADESH,PILIBHIT,UTTARPRADESH,PILIBHIT,Polygon,True,0.33123644615924275
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,393,Uttarakhand,Pithoragarh,05,07,UTTARAKHAND,PITHORAGARH,UTTARAKHAND,PITHORAGARH,Polygon,True,0.6780247073813189
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,394,Puducherry,Pondicherry,34,02,PUDUCHERRY,PONDICHERRY,PUDUCHERRY,PONDICHERRY,MultiPolygon,True,0.024896184673470788
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,395,Gujarat,Porbandar,24,11,GUJARAT,PORBANDAR,GUJARAT,PORBANDAR,Polygon,True,0.1996231374329339
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,396,Andhra Pradesh,Prakasam,28,18,ANDHRA PRADESH,PRAKASAM,ANDHRAPRADESH,PRAKASAM,Polygon,True,1.4927575321707032
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,397,Uttar Pradesh,Pratapgarh,09,43,UTTAR PRADESH,PRATAPGARH,UTTARPRADESH,PRATAPGARH,Polygon,True,0.3343956750655363
Census 2001,data/external/datameet_districts/census_2001/2001_Dist.shp,398,Tamil Nadu,Pudukkottai,33,22,TAMIL NADU,PUDUKKOTTAI,TAMILNADU,PUDUKKOTTAI,MultiPolygon,True,0.38450923521482566
