model_run_id,experiment_family,model_name,model_family,feature_set,target_strategy,hyperparameters_json,preprocessing_family,training_scope,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,std_r2,worst_fold_mae,worst_fold_rmse,total_fit_seconds,successful_folds,failed_folds,simplicity_rank,test_data_accessed
cv_direct_tree_depth_8_leaf_20_core_with_lag,direct,DecisionTree,tree,core_with_lag,direct,"{""max_depth"": 8, ""min_samples_leaf"": 20}",tree,full_train,1.6270096288064722,0.10314275124525223,5.550802454973613,0.173400981160677,0.8003733327829378,0.004920816586832846,1.7587792925947403,5.795819539333405,9.604262500011828,3,0,5,False
cv_direct_rf_150_depth_15_leaf_5_maxfeat_sqrt_core_with_lag,direct,RandomForest,tree,core_with_lag,direct,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 150, ""n_jobs"": -1}",tree,full_train,1.6781216058269404,0.05689636407031383,4.717498866493244,0.3411252941420799,0.85556461939598,0.016065653189645448,1.7497961081056352,5.1791141413543045,26.841120099968975,3,0,6,False
cv_direct_tree_depth_8_leaf_20_core_without_lag,direct,DecisionTree,tree,core_without_lag,direct,"{""max_depth"": 8, ""min_samples_leaf"": 20}",tree,full_train,2.015240278548739,0.11817781613597281,6.2804354461486485,0.5326271799313742,0.7438775545403313,0.03411908061138332,2.149558293888777,7.03023877967559,10.114471200009575,3,0,5,False
cv_direct_linearsvr_c_1_0_epsilon_0_1_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 1.0, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,2.0993660084686527,0.023604062341145447,6.859127612501434,0.22118968018508722,0.6950607474301328,0.011781932198637282,2.1325034304002544,7.151837765375023,138.91958980000345,3,0,4,False
cv_direct_linearsvr_c_1_0_epsilon_0_0_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 1.0, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,2.1001757213902823,0.02390151711660014,6.862103160754894,0.22194529690261608,0.6947976171373133,0.011801054161632364,2.133780336994369,7.156175406785311,132.46073890000116,3,0,4,False
cv_direct_linearsvr_c_0_3_epsilon_0_1_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 0.3, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,2.1021656632337087,0.02262637822272509,6.8948869738593475,0.21199561404695924,0.6918748512801481,0.011099196831946784,2.1338180078616324,7.1761616137028295,46.993945299996994,3,0,4,False
cv_direct_linearsvr_c_0_3_epsilon_0_0_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,2.1026759040814498,0.022465830863012178,6.898298109974514,0.21188608733762548,0.6915691243102282,0.011115727173996346,2.134131212745034,7.179249547792994,45.95514509995701,3,0,4,False
cv_direct_linearsvr_c_0_1_epsilon_0_1_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 0.1, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,2.1138263668707364,0.021061977146189962,6.992026738532512,0.19423337826647624,0.6831413646864689,0.009501289410332294,2.142045498017352,7.253561072000351,21.585733799962327,3,0,4,False
cv_direct_linearsvr_c_0_1_epsilon_0_0_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 0.1, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,2.1147814710093975,0.020460456331326825,6.995838458477038,0.19301241016741794,0.6827921588119782,0.00952541983108754,2.142261609296383,7.255063992826404,21.335201500012772,3,0,4,False
cv_direct_linearsvr_c_0_03_epsilon_0_1_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 0.03, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,2.172526419934108,0.024667423400131283,7.348229117828008,0.14715912294322564,0.6500419049446958,0.004060651186116508,2.19337276976108,7.556070779076347,10.265019599988591,3,0,4,False
cv_direct_linearsvr_c_0_03_epsilon_0_0_core_without_lag,direct,LinearSVR,linear,core_without_lag,direct,"{""C"": 0.03, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,2.173306964396581,0.02478112536920591,7.352864968336593,0.1464317821823759,0.6496005759754206,0.003897720415897873,2.1946235843312745,7.559784630422738,10.5676722000062,3,0,4,False
cv_direct_rf_200_depth_25_leaf_5_maxfeat_sqrt_core_without_lag,direct,RandomForest,tree,core_without_lag,direct,"{""max_depth"": 25, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}",tree,full_train,2.33925347301165,0.07391153427515892,5.952145793940287,0.2673461902748214,0.770483666134505,0.011494043713298447,2.420158801742542,6.319824079282628,55.982060400012415,3,0,6,False
cv_direct_rf_250_depth_none_leaf_10_maxfeat_sqrt_core_without_lag,direct,RandomForest,tree,core_without_lag,direct,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10, ""n_estimators"": 250, ""n_jobs"": -1}",tree,full_train,2.4382512739312965,0.0490772569087026,6.168667205549901,0.20425607150789776,0.7534704442566094,0.006767031438197686,2.482761053463831,6.45634725336414,69.88111749998643,3,0,6,False
cv_direct_rf_150_depth_15_leaf_5_maxfeat_sqrt_core_without_lag,direct,RandomForest,tree,core_without_lag,direct,"{""max_depth"": 15, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 150, ""n_jobs"": -1}",tree,full_train,2.5430079737315494,0.058344546255122386,6.225854452219559,0.2514919437374351,0.7488596228228256,0.011111779774814924,2.6131787860274605,6.580756536532033,30.393960000015795,3,0,6,False
cv_direct_ridge_alpha_100_0_core_with_lag,direct,Ridge,linear,core_with_lag,direct,"{""alpha"": 100.0, ""solver"": ""auto""}",linear,full_train,3.0739837210647853,0.11934613408584432,6.234738505749161,0.1389599232239443,0.7480619441366437,0.004735486396652183,3.242759748417607,6.427582704732396,9.26810899999691,3,0,3,False
cv_direct_ridge_alpha_10_0_core_with_lag,direct,Ridge,linear,core_with_lag,direct,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,3.217546254664576,0.11152134325220123,6.315834727787276,0.12909333721778757,0.7414520938581823,0.004487231006423614,3.374863830676472,6.495087592563094,11.261245199973928,3,0,3,False
cv_direct_ridge_alpha_1_0_core_with_lag,direct,Ridge,linear,core_with_lag,direct,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,3.2555438299750428,0.11264363630074942,6.3388968146093285,0.12200044019592442,0.7395525360139406,0.004274919460242921,3.413664052127696,6.508671874381804,14.607776399992872,3,0,3,False
cv_direct_ridge_alpha_0_1_core_with_lag,direct,Ridge,linear,core_with_lag,direct,"{""alpha"": 0.1, ""solver"": ""auto""}",linear,full_train,3.264968831603199,0.11317129436109213,6.344346772417496,0.11943562264516189,0.7391001688668862,0.004296970642607782,3.4229709720594745,6.51043583023482,19.416128700016998,3,0,3,False
cv_direct_ridge_alpha_100_0_core_without_lag,direct,Ridge,linear,core_without_lag,direct,"{""alpha"": 100.0, ""solver"": ""auto""}",linear,full_train,3.329437049887479,0.10687402665670645,6.7184166768035665,0.21515240330887778,0.7074783463464196,0.010263058921534689,3.474027754099076,7.011375951194639,7.872808600019198,3,0,3,False
cv_direct_ridge_alpha_10_0_core_without_lag,direct,Ridge,linear,core_without_lag,direct,"{""alpha"": 10.0, ""solver"": ""auto""}",linear,full_train,3.461429036570118,0.0957636230604507,6.757371581531037,0.20817855018314183,0.704075561439045,0.009757649127331635,3.59155655882189,7.041165421385092,10.180569099989953,3,0,3,False
cv_direct_ridge_alpha_1_0_core_without_lag,direct,Ridge,linear,core_without_lag,direct,"{""alpha"": 1.0, ""solver"": ""auto""}",linear,full_train,3.498539604968664,0.09381910244727207,6.7760722739689045,0.20090692590123335,0.7024330225439875,0.00925264241349499,3.6283237138648654,7.050092940387835,13.688345499977004,3,0,3,False
cv_direct_ridge_alpha_0_1_core_without_lag,direct,Ridge,linear,core_without_lag,direct,"{""alpha"": 0.1, ""solver"": ""auto""}",linear,full_train,3.5102031024077927,0.08950304201351045,6.783112601267597,0.1983320358036341,0.701805878068645,0.00931780272076105,3.635784162943309,7.052023573290447,18.358602599968435,3,0,3,False
