model_run_id,phase,application_track,experiment_family,model_name,model_family,feature_set,target_strategy,fold_id,fit_start_year,fit_end_year,evaluation_start_year,evaluation_end_year,hyperparameters_json,preprocessing_family,training_scope,fit_rows,evaluation_rows,fit_seconds,predict_seconds,mae,rmse,r2,median_ae,lag_subset_rows,lag_subset_mae,lag_subset_rmse,baseline_fold_mae,mae_improvement_over_lag_baseline,time_cv_mean_mae,time_cv_std_mae,time_cv_worst_fold_mae,status,warning_count,warning_summary,error_type,error_message,random_state,test_data_accessed
cv_direct_linearsvr_c_0_1_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 0.1, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,171502,30662,9.377692699985346,0.16497199999867,2.142045498017352,7.253561072000351,0.6768357980530715,0.3877290127466449,25900,2.2334808225877056,7.531692761229369,1.1219907041916857,-1.0200547938256668,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_3_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,112384,29022,11.434950800001388,0.1193260000145528,2.090820329579308,6.667582221508317,0.707285631569197,0.3555993819617253,24402,2.040302601755453,6.716745031949313,1.0469628406265556,-1.043857488952752,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_3_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,141406,30096,15.068635499977972,0.1170756000210531,2.083076169920007,6.848062560622229,0.6839983347553152,0.3711283085570432,25723,2.0538343739660334,7.015874432252414,1.0556765933106236,-1.0273995766093835,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_3_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 0.3, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,171502,30662,19.451558799977647,0.113069400016684,2.134131212745034,7.179249547792994,0.6834234066061726,0.3872641121023018,25900,2.220373856052739,7.442742268660238,1.1219907041916857,-1.0121405085533486,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_3_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 0.3, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,112384,29022,11.305548900010765,0.1137951999844517,2.090404745755924,6.664379507067744,0.7075667695734502,0.3580734462760052,24402,2.039886785036713,6.713133132018392,1.0469628406265556,-1.043441905129368,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_3_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 0.3, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,141406,30096,15.915189499995904,0.1177905999938957,2.082274236083569,6.844119800807472,0.6843621047963657,0.3733864587956251,25723,2.05282407984058,7.011687494585702,1.0556765933106236,-1.0265976427729455,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_0_3_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 0.3, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,171502,30662,19.773206899990328,0.1159138999937567,2.1338180078616324,7.1761616137028295,0.6836956794706286,0.3904152883761425,25900,2.219404092592684,7.439569561401742,1.1219907041916857,-1.011827303669947,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_1_0_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 1.0, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,112384,29022,32.44016420000116,0.1146300000254996,2.086531124513716,6.620037001373519,0.7114453249400152,0.3579819182789658,24402,2.0321180648114083,6.662212987195682,1.0469628406265556,-1.0395682838871605,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_1_0_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 1.0, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,141406,30096,42.75749680001172,0.1189328999898862,2.080215702662762,6.810097074105852,0.6874924327974805,0.3723327641895166,25723,2.0499800406906603,6.9732873168805,1.0556765933106236,-1.0245391093521383,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_1_0_epsilon_0_0_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 1.0, ""epsilon"": 0.0, ""max_iter"": 20000}",linear,full_train,171502,30662,57.26307789998828,0.1152765000006184,2.133780336994369,7.156175406785311,0.6854550936744441,0.3874295315064867,25900,2.217741884484472,7.413759042155787,1.1219907041916857,-1.011789632802684,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_1_0_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""C"": 1.0, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,112384,29022,33.774003400001675,0.1213400999840814,2.08628457284361,6.617232561529832,0.7116897534288884,0.3608530747168916,24402,2.032306601014637,6.659599407913346,1.0469628406265556,-1.0393217322170545,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_1_0_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""C"": 1.0, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,141406,30096,45.99612959998194,0.1185998000146355,2.079310022162093,6.808312510599445,0.6876561944952879,0.3735651282519967,25723,2.0489842488542807,6.971224066937944,1.0556765933106236,-1.02363342885147,,,,completed,0,,,,42,False
cv_direct_linearsvr_c_1_0_epsilon_0_1_core_without_lag,cv-direct,,direct,LinearSVR,linear,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""C"": 1.0, ""epsilon"": 0.1, ""max_iter"": 20000}",linear,full_train,171502,30662,59.14945680001984,0.1155977000016719,2.1325034304002544,7.151837765375023,0.6858362943662223,0.3929357301503908,25900,2.216329290599841,7.409248875537805,1.1219907041916857,-1.010512726208569,,,,completed,0,,,,42,False
cv_direct_tree_depth_8_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""max_depth"": 8, ""min_samples_leaf"": 20}",tree,full_train,112384,29022,2.6197317999904044,0.0652785999991465,1.861953473935244,5.843213718599038,0.7751924857294489,0.5886109188728843,24402,1.7583199321415304,5.960519266836887,1.0469628406265556,-0.8149906333086885,,,,completed,0,,,,42,False
cv_direct_tree_depth_8_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""max_depth"": 8, ""min_samples_leaf"": 20}",tree,full_train,141406,30096,3.4074128000065684,0.0703962999978102,2.0342090678221965,5.96785384017132,0.7600115784691455,0.6297251559561785,25723,1.9161981567284507,5.927855498803003,1.0556765933106236,-0.9785324745115728,,,,completed,0,,,,42,False
cv_direct_tree_depth_8_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""max_depth"": 8, ""min_samples_leaf"": 20}",tree,full_train,171502,30662,4.087326600012602,0.0693428000085987,2.149558293888777,7.03023877967559,0.6964285994223995,0.6001174697501477,25900,2.190707688628817,7.253223633457955,1.1219907041916857,-1.0275675896970915,,,,completed,0,,,,42,False
cv_direct_tree_depth_12_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""max_depth"": 12, ""min_samples_leaf"": 20}",tree,full_train,112384,29022,3.387365000002319,0.0714623999956529,1.5898801910463574,5.589314922211224,0.7943046654854561,0.3834383773118359,24402,1.4781926240768448,5.686429314631686,1.0469628406265556,-0.5429173504198017,,,,completed,0,,,,42,False
cv_direct_tree_depth_12_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""max_depth"": 12, ""min_samples_leaf"": 20}",tree,full_train,141406,30096,4.302758799982257,0.0773735000111628,1.5816774919458003,5.412941784088928,0.8025665905042382,0.4487575604725398,25723,1.47030196620254,5.323651538526165,1.0556765933106236,-0.526000898635177,,,,completed,0,,,,42,False
cv_direct_tree_depth_12_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""max_depth"": 12, ""min_samples_leaf"": 20}",tree,full_train,171502,30662,5.327089800004615,0.0735672999871894,1.6350968932212864,6.483701627689942,0.7417937536078438,0.3862336001407895,25900,1.645131608398417,6.7050675358661165,1.1219907041916857,-0.5131061890296009,,,,completed,0,,,,42,False
cv_direct_tree_depth_16_leaf_10_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""max_depth"": 16, ""min_samples_leaf"": 10}",tree,full_train,112384,29022,3.999904600001173,0.0841562000277917,1.391451726341571,5.671125716638343,0.7882390723346469,0.2996683525157875,24402,1.273202902788033,5.818300987189028,1.0469628406265556,-0.3444888857150154,,,,completed,0,,,,42,False
cv_direct_tree_depth_16_leaf_10_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""max_depth"": 16, ""min_samples_leaf"": 10}",tree,full_train,141406,30096,5.105882100004237,0.0794277999957557,1.462045450006278,5.446648051596911,0.8001001081178789,0.3402995934982945,25723,1.3407248915007497,5.404652308335932,1.0556765933106236,-0.4063688566956545,,,,completed,0,,,,42,False
cv_direct_tree_depth_16_leaf_10_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""max_depth"": 16, ""min_samples_leaf"": 10}",tree,full_train,171502,30662,6.303782299975865,0.072505899996031,1.5042886416218406,6.335601734235083,0.7534548631095802,0.3091260680626924,25900,1.498998813318173,6.532480666445944,1.1219907041916857,-0.3822979374301551,,,,completed,0,,,,42,False
cv_direct_tree_depth_none_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""max_depth"": null, ""min_samples_leaf"": 20}",tree,full_train,112384,29022,4.571636400010902,0.077000199991744,1.4134974460010616,5.484392021577406,0.8019548268482238,0.2658658815875045,24402,1.282103568857532,5.571868882669425,1.0469628406265556,-0.366534605374506,,,,completed,0,,,,42,False
cv_direct_tree_depth_none_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_2,1997,2006,2007,2008,"{""max_depth"": null, ""min_samples_leaf"": 20}",tree,full_train,141406,30096,6.384149399993476,0.089410599990515,1.4683931976132392,5.3692326405764375,0.8057422401484068,0.3018807012529432,25723,1.351196100798993,5.294101244507607,1.0556765933106236,-0.4127166043026156,,,,completed,0,,,,42,False
cv_direct_tree_depth_none_leaf_20_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_3,1997,2008,2009,2010,"{""max_depth"": null, ""min_samples_leaf"": 20}",tree,full_train,171502,30662,7.439563299994916,0.0806798000121489,1.5163337210261052,6.427827266918087,0.746224847387922,0.2832958775895581,25900,1.5289069596741502,6.655953415922302,1.1219907041916857,-0.3943430168344197,,,,completed,0,,,,42,False
cv_direct_tree_depth_none_leaf_50_core_without_lag,cv-direct,,direct,DecisionTree,tree,core_without_lag,direct,fold_1,1997,2004,2005,2006,"{""max_depth"": null, ""min_samples_leaf"": 50}",tree,full_train,112384,29022,4.134448099997826,0.0683360999973956,1.6263103385265745,7.879399070866201,0.5912163895459752,0.2735360084442564,24402,1.4359776602780234,7.72376154602213,1.0469628406265556,-0.5793474979000186,,,,completed,0,,,,42,False
