canonical_state_name,Crop_Year,Season_canonical,Crop_canonical,area_ratio_pattern,production_ratio_pattern,row_count,corrected_production_matches,legacy_area_min,legacy_area_max,expanded_area_min,expanded_area_max,legacy_target_min,legacy_target_max,expanded_target_min,expanded_target_max,selected_sources,source_overlap_statuses
Jharkhand,2007,Autumn,Rice,1,1,2,2,3428.1,6437.16,3428.1,6437.16,0.8813405290531849,1.0079431755199673,0.8813409950972168,1.0079440506402966,legacy_source,conflict_unresolved_legacy_retained
Karnataka,2009,Kharif,Rice,1,other,2,0,133.0,928.0,133.0,928.0,0.8835021551724138,2.869022556390977,0.8835000000000002,2.869,legacy_source,conflict_unresolved_legacy_retained
Kerala,2010,Whole Year,Cashewnut,1,1,2,2,6803.06,17294.71,6803.06,17294.71,0.7543032106140471,1.3022403960517406,0.7543029166286935,1.3022406273363358,legacy_source,conflict_unresolved_legacy_retained
Kerala,2010,Winter,Rice,1,other,2,0,479.99,2349.43,479.99,2349.43,1.1074643636967263,2.276172420258755,1.1074664918724968,2.276176587012229,legacy_source,conflict_unresolved_legacy_retained
Kerala,2011,Kharif,Sesamum,1,other,2,0,0.97,4.58,0.97,4.58,0.1237113402061855,0.2532751091703056,0.1278350515463917,0.2524017467248908,legacy_source,conflict_unresolved_legacy_retained
Kerala,2011,Whole Year,Cashewnut,1,1,2,2,8250.07,23190.1,8250.07,23190.1,0.6889577906611701,1.0437850634538015,0.6889575482389847,1.0437851496975004,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2004,Kharif,Sesamum,1,missing,2,0,100.0,200.0,100.0,200.0,0.0,0.0,0.5,1.0,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2005,Kharif,Rice,other,1,2,2,100.0,200.0,400.0,2200.0,1.0,4.5,0.25,0.4090909090909091,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Kharif,Rice,1,100,2,0,7200.0,14500.0,7200.0,14500.0,0.0038888888888888,0.0072413793103448,0.3888888888888889,0.7241379310344828,legacy_source,unresolved_production_unit_conflict
Maharashtra,2007,Summer,Groundnut,100,100,2,0,1.0,2.0,100.0,200.0,1.0,2.5,1.0,2.5,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Summer,Sunflower,100,100,2,0,1.0,1.0,100.0,100.0,1.0,1.0,1.0,1.0,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2007,Summer,Sunflower,100,other,2,0,4.0,4.0,400.0,400.0,0.75,0.75,1.0,1.25,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2008,Rabi,Jowar,other,other,2,0,12700.0,178200.0,159300.0,276300.0,0.9017957351290684,1.5511811023622046,0.8237423090843287,0.9642184557438794,legacy_source,conflict_unresolved_legacy_retained
Maharashtra,2010,Kharif,Urad,1,other,2,0,100.0,2500.0,100.0,2500.0,0.8,0.84,0.68,1.0,legacy_source,conflict_unresolved_legacy_retained
Punjab,2011,Kharif,Groundnut,0.1,0.1,2,0,1000.0,16000.0,100.0,1600.0,1.0,1.75,1.0,1.75,legacy_source,conflict_unresolved_legacy_retained
Punjab,2011,Kharif,Guar seed,0.1,0.1,2,0,19000.0,30000.0,1900.0,3000.0,0.8333333333333334,0.8421052631578947,0.8333333333333334,0.8421052631578947,legacy_source,conflict_unresolved_legacy_retained
Telangana,2013,Rabi,Tobacco,other,other,2,0,81.0,2572.0,51.0,1986.0,2.730171073094868,4.345679012345679,2.2668680765357503,4.333333333333333,legacy_source,conflict_unresolved_legacy_retained
West Bengal,1997,Whole Year,Coconut,1,other,2,0,135.0,2975.0,135.0,2975.0,5.696296296296296,13.499831932773107,5702.962962962963,13500.0,legacy_source,conflict_unresolved_legacy_retained
West Bengal,2005,Whole Year,Coconut,1,1000,2,0,499.0,645.0,499.0,645.0,5.0,12.8,5000.0,12800.0,legacy_source,unresolved_production_unit_conflict
Andaman and Nicobar Islands,2003,Kharif,Rice,1,1,1,1,10509.37,10509.37,10509.37,10509.37,2.92697849633232,2.92697849633232,2.926978306025956,2.926978306025956,legacy_source,conflict_unresolved_legacy_retained
Andaman and Nicobar Islands,2004,Whole Year,Banana,other,1,1,1,66.42,66.42,66.418,66.418,6.084311954230653,6.084311954230653,6.0844951669728085,6.0844951669728085,legacy_source,conflict_unresolved_legacy_retained
Andaman and Nicobar Islands,2004,Whole Year,other oilseeds,1,other,1,0,89.3,89.3,89.3,89.3,0.5207166853303472,0.5207166853303472,0.5206942889137737,0.5206942889137737,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2012,Rabi,Small millets,other,other,1,0,1499.0,1499.0,2000.0,2000.0,0.8418945963975984,0.8418945963975984,0.5,0.5,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2014,Kharif,Small millets,other,other,1,0,124.0,124.0,117.0,117.0,0.7096774193548387,0.7096774193548387,0.7264957264957265,0.7264957264957265,legacy_source,conflict_unresolved_legacy_retained
Andhra Pradesh,2014,Rabi,Small millets,other,1,1,1,1092.0,1092.0,1087.0,1087.0,1.0888278388278387,1.0888278388278387,1.093836246550138,1.093836246550138,legacy_source,conflict_unresolved_legacy_retained
Dadra and Nagar Haveli,1999,Kharif,Coconut,1,100,1,0,175.0,175.0,175.0,175.0,4.0,4.0,400.0,400.0,legacy_source,unresolved_production_unit_conflict
Dadra and Nagar Haveli,2000,Kharif,Coconut,1,100,1,0,180.0,180.0,180.0,180.0,4.45,4.45,445.0,445.0,legacy_source,unresolved_production_unit_conflict
Dadra and Nagar Haveli,2001,Kharif,Coconut,1,100,1,0,180.0,180.0,180.0,180.0,2.5,2.5,250.0,250.0,legacy_source,unresolved_production_unit_conflict
Dadra and Nagar Haveli,2002,Kharif,Coconut,1,100,1,0,180.0,180.0,180.0,180.0,2.5,2.5,250.0,250.0,legacy_source,unresolved_production_unit_conflict
Dadra and Nagar Haveli,2003,Kharif,Coconut,1,100,1,0,180.0,180.0,180.0,180.0,2.5,2.5,250.0,250.0,legacy_source,unresolved_production_unit_conflict
Dadra and Nagar Haveli,2004,Kharif,Coconut,1,100,1,0,185.0,185.0,185.0,185.0,2.497297297297297,2.497297297297297,249.7297297297297,249.7297297297297,legacy_source,unresolved_production_unit_conflict
Dadra and Nagar Haveli,2005,Kharif,Coconut,1,100,1,0,190.0,190.0,190.0,190.0,2.5,2.5,250.0,250.0,legacy_source,unresolved_production_unit_conflict
Goa,2013,Kharif,Ragi,1,other,1,0,2.0,2.0,2.0,2.0,1.345,1.345,1.3425,1.3425,legacy_source,conflict_unresolved_legacy_retained
Goa,2014,Kharif,Ragi,1,other,1,0,0.1,0.1,0.1,0.1,0.7999999999999999,0.7999999999999999,0.7499999999999999,0.7499999999999999,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Kharif,Arhar/Tur,other,other,1,0,7.0,7.0,1.0,1.0,0.4285714285714285,0.4285714285714285,1.0,1.0,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Kharif,Groundnut,1,other,1,0,2.0,2.0,2.0,2.0,1.0,1.0,0.5,0.5,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Kharif,Moth,other,other,1,0,41.0,41.0,5.0,5.0,0.3658536585365853,0.3658536585365853,0.2,0.2,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Kharif,Rice,1,other,1,0,15.0,15.0,15.0,15.0,1.6666666666666667,1.6666666666666667,1.5333333333333334,1.5333333333333334,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Kharif,Sesamum,other,1,1,1,2.0,2.0,4.0,4.0,0.5,0.5,0.25,0.25,legacy_source,conflict_unresolved_legacy_retained
Himachal Pradesh,2010,Rabi,Coriander,1,other,1,0,4.0,4.0,4.0,4.0,0.25,0.25,0.5,0.5,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2002,Winter,Rice,1,1,1,1,6723.39,6723.39,6723.39,6723.39,1.0533332143457392,1.0533332143457392,1.0533327681422615,1.0533327681422615,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2003,Winter,Rice,1,other,1,0,17100.47,17100.47,17100.47,17100.47,0.0672209594239222,0.0672209594239222,0.0672207646924324,0.0672207646924324,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2004,Rabi,Onion,1,1,1,1,196.57,196.57,196.57,196.57,7.710993539197233,7.710993539197233,7.710998626443506,7.710998626443506,legacy_source,conflict_unresolved_legacy_retained
Jharkhand,2004,Winter,Rice,1,other,1,0,7107.02,7107.02,7107.02,7107.02,0.4206671713320069,0.4206671713320069,0.4206667023590759,0.4206667023590759,legacy_source,conflict_unresolved_legacy_retained
